datum,tekst
2026-03-10,"Je mag vertrouwen op kleine vooruitgang: zelfcompassie maakt je niet zwak maar menselijk, Ik ben trots op je volhouden. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-03-11,"Dit moment is genoeg om opnieuw te starten: wees even vriendelijk voor jezelf zoals voor een goede vriend, Je bent welkom precies zoals je bent. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-03-12,"Wat je voelt mag er zijn: een kleine stap vandaag maakt morgen zachter, Hou vol, met zachtheid. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-03-13,"Je hart mag even rusten: laat vergelijking los en blijf bij je eigen pad, Je bent niet alleen. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-03-14,"Je hoeft niet alles nu op te lossen: herinner jezelf eraan dat je al veel hebt doorstaan, Dank je dat je blijft proberen. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-03-15,"Je bent sterker dan je denkt: je bent niet je moeilijke moment, Rustig is ook vooruitgang. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-03-16,"Jouw tempo is ook tempo: neem water, adem, en begin opnieuw, Dit is genoeg voor vandaag. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-03-17,"Vandaag mag je zacht beginnen: kies één ding dat belangrijk is en laat de rest even wachten, Je doet het beter dan je denkt. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-03-18,"Je hoeft niets te bewijzen vandaag: gun jezelf pauze zonder schuldgevoel, Je mag vertrouwen op jezelf. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-03-19,"Adem even, je bent hier: vertrouw op je rustige ademhaling, Morgen krijg je een nieuwe kans. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-03-20,"Ook op trage dagen ben je waardevol: ook met twijfel mag je vooruitgaan, Ik ben trots op je volhouden. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-03-21,"Dit is je vriendelijke herinnering: vraag hulp als het zwaar voelt, dat is moed, Je bent welkom precies zoals je bent. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-03-22,"Je draagt veel, en toch sta je hier: je hoeft nu alleen de volgende stap te zien, Hou vol, met zachtheid. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-03-23,"Zelfs kleine stappen tellen: elke dag hoef je maar opnieuw te kiezen, Je bent niet alleen. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-03-24,"Je hoeft niet perfect te zijn: zet je schouders los en laat spanning wegsmelten, Dank je dat je blijft proberen. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-03-25,"Je mag het lichter maken voor jezelf: je hoeft niet alles alleen te dragen, Rustig is ook vooruitgang. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-03-26,"Vandaag kies je voor mildheid: je bent meer dan je to-do lijst, Dit is genoeg voor vandaag. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-03-27,"Neem even ruimte voor jezelf: jij mag rust nemen voordat je op bent, Je doet het beter dan je denkt. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-03-28,"Je bent niet achter, je bent onderweg: een zachte grens zetten is ook zelfzorg, Je mag vertrouwen op jezelf. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-03-29,"Ook stilte kan helend zijn: je aanwezigheid is waardevol, Morgen krijg je een nieuwe kans. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-03-30,"Je mag vertrouwen op kleine vooruitgang: zelfcompassie maakt je niet zwak maar menselijk, Ik ben trots op je volhouden. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-03-31,"Dit moment is genoeg om opnieuw te starten: wees even vriendelijk voor jezelf zoals voor een goede vriend, Je bent welkom precies zoals je bent. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-04-01,"Wat je voelt mag er zijn: een kleine stap vandaag maakt morgen zachter, Hou vol, met zachtheid. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-04-02,"Je hart mag even rusten: laat vergelijking los en blijf bij je eigen pad, Je bent niet alleen. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-04-03,"Je hoeft niet alles nu op te lossen: herinner jezelf eraan dat je al veel hebt doorstaan, Dank je dat je blijft proberen. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-04-04,"Je bent sterker dan je denkt: je bent niet je moeilijke moment, Rustig is ook vooruitgang. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-04-05,"Jouw tempo is ook tempo: neem water, adem, en begin opnieuw, Dit is genoeg voor vandaag. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-04-06,"Vandaag mag je zacht beginnen: kies één ding dat belangrijk is en laat de rest even wachten, Je doet het beter dan je denkt. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-04-07,"Je hoeft niets te bewijzen vandaag: gun jezelf pauze zonder schuldgevoel, Je mag vertrouwen op jezelf. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-04-08,"Adem even, je bent hier: vertrouw op je rustige ademhaling, Morgen krijg je een nieuwe kans. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-04-09,"Ook op trage dagen ben je waardevol: ook met twijfel mag je vooruitgaan, Ik ben trots op je volhouden. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-04-10,"Dit is je vriendelijke herinnering: vraag hulp als het zwaar voelt, dat is moed, Je bent welkom precies zoals je bent. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-04-11,"Je draagt veel, en toch sta je hier: je hoeft nu alleen de volgende stap te zien, Hou vol, met zachtheid. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-04-12,"Zelfs kleine stappen tellen: elke dag hoef je maar opnieuw te kiezen, Je bent niet alleen. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-04-13,"Je hoeft niet perfect te zijn: zet je schouders los en laat spanning wegsmelten, Dank je dat je blijft proberen. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-04-14,"Je mag het lichter maken voor jezelf: je hoeft niet alles alleen te dragen, Rustig is ook vooruitgang. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-04-15,"Vandaag kies je voor mildheid: je bent meer dan je to-do lijst, Dit is genoeg voor vandaag. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-04-16,"Neem even ruimte voor jezelf: jij mag rust nemen voordat je op bent, Je doet het beter dan je denkt. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-04-17,"Je bent niet achter, je bent onderweg: een zachte grens zetten is ook zelfzorg, Je mag vertrouwen op jezelf. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-04-18,"Ook stilte kan helend zijn: je aanwezigheid is waardevol, Morgen krijg je een nieuwe kans. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-04-19,"Je mag vertrouwen op kleine vooruitgang: zelfcompassie maakt je niet zwak maar menselijk, Ik ben trots op je volhouden. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-04-20,"Dit moment is genoeg om opnieuw te starten: wees even vriendelijk voor jezelf zoals voor een goede vriend, Je bent welkom precies zoals je bent. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-04-21,"Wat je voelt mag er zijn: een kleine stap vandaag maakt morgen zachter, Hou vol, met zachtheid. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-04-22,"Je hart mag even rusten: laat vergelijking los en blijf bij je eigen pad, Je bent niet alleen. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-04-23,"Je hoeft niet alles nu op te lossen: herinner jezelf eraan dat je al veel hebt doorstaan, Dank je dat je blijft proberen. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-04-24,"Je bent sterker dan je denkt: je bent niet je moeilijke moment, Rustig is ook vooruitgang. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-04-25,"Jouw tempo is ook tempo: neem water, adem, en begin opnieuw, Dit is genoeg voor vandaag. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-04-26,"Vandaag mag je zacht beginnen: kies één ding dat belangrijk is en laat de rest even wachten, Je doet het beter dan je denkt. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-04-27,"Je hoeft niets te bewijzen vandaag: gun jezelf pauze zonder schuldgevoel, Je mag vertrouwen op jezelf. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-04-28,"Adem even, je bent hier: vertrouw op je rustige ademhaling, Morgen krijg je een nieuwe kans. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-04-29,"Ook op trage dagen ben je waardevol: ook met twijfel mag je vooruitgaan, Ik ben trots op je volhouden. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-04-30,"Dit is je vriendelijke herinnering: vraag hulp als het zwaar voelt, dat is moed, Je bent welkom precies zoals je bent. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-05-01,"Je draagt veel, en toch sta je hier: je hoeft nu alleen de volgende stap te zien, Hou vol, met zachtheid. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-05-02,"Zelfs kleine stappen tellen: elke dag hoef je maar opnieuw te kiezen, Je bent niet alleen. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-05-03,"Je hoeft niet perfect te zijn: zet je schouders los en laat spanning wegsmelten, Dank je dat je blijft proberen. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-05-04,"Je mag het lichter maken voor jezelf: je hoeft niet alles alleen te dragen, Rustig is ook vooruitgang. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-05-05,"Vandaag kies je voor mildheid: je bent meer dan je to-do lijst, Dit is genoeg voor vandaag. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-05-06,"Neem even ruimte voor jezelf: jij mag rust nemen voordat je op bent, Je doet het beter dan je denkt. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-05-07,"Je bent niet achter, je bent onderweg: een zachte grens zetten is ook zelfzorg, Je mag vertrouwen op jezelf. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-05-08,"Ook stilte kan helend zijn: je aanwezigheid is waardevol, Morgen krijg je een nieuwe kans. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-05-09,"Je mag vertrouwen op kleine vooruitgang: zelfcompassie maakt je niet zwak maar menselijk, Ik ben trots op je volhouden. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-05-10,"Dit moment is genoeg om opnieuw te starten: wees even vriendelijk voor jezelf zoals voor een goede vriend, Je bent welkom precies zoals je bent. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-05-11,"Wat je voelt mag er zijn: een kleine stap vandaag maakt morgen zachter, Hou vol, met zachtheid. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-05-12,"Je hart mag even rusten: laat vergelijking los en blijf bij je eigen pad, Je bent niet alleen. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-05-13,"Je hoeft niet alles nu op te lossen: herinner jezelf eraan dat je al veel hebt doorstaan, Dank je dat je blijft proberen. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-05-14,"Je bent sterker dan je denkt: je bent niet je moeilijke moment, Rustig is ook vooruitgang. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-05-15,"Jouw tempo is ook tempo: neem water, adem, en begin opnieuw, Dit is genoeg voor vandaag. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-05-16,"Vandaag mag je zacht beginnen: kies één ding dat belangrijk is en laat de rest even wachten, Je doet het beter dan je denkt. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-05-17,"Je hoeft niets te bewijzen vandaag: gun jezelf pauze zonder schuldgevoel, Je mag vertrouwen op jezelf. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-05-18,"Adem even, je bent hier: vertrouw op je rustige ademhaling, Morgen krijg je een nieuwe kans. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-05-19,"Ook op trage dagen ben je waardevol: ook met twijfel mag je vooruitgaan, Ik ben trots op je volhouden. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-05-20,"Dit is je vriendelijke herinnering: vraag hulp als het zwaar voelt, dat is moed, Je bent welkom precies zoals je bent. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-05-21,"Je draagt veel, en toch sta je hier: je hoeft nu alleen de volgende stap te zien, Hou vol, met zachtheid. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-05-22,"Zelfs kleine stappen tellen: elke dag hoef je maar opnieuw te kiezen, Je bent niet alleen. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-05-23,"Je hoeft niet perfect te zijn: zet je schouders los en laat spanning wegsmelten, Dank je dat je blijft proberen. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-05-24,"Je mag het lichter maken voor jezelf: je hoeft niet alles alleen te dragen, Rustig is ook vooruitgang. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-05-25,"Vandaag kies je voor mildheid: je bent meer dan je to-do lijst, Dit is genoeg voor vandaag. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-05-26,"Neem even ruimte voor jezelf: jij mag rust nemen voordat je op bent, Je doet het beter dan je denkt. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-05-27,"Je bent niet achter, je bent onderweg: een zachte grens zetten is ook zelfzorg, Je mag vertrouwen op jezelf. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-05-28,"Ook stilte kan helend zijn: je aanwezigheid is waardevol, Morgen krijg je een nieuwe kans. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-05-29,"Je mag vertrouwen op kleine vooruitgang: zelfcompassie maakt je niet zwak maar menselijk, Ik ben trots op je volhouden. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-05-30,"Dit moment is genoeg om opnieuw te starten: wees even vriendelijk voor jezelf zoals voor een goede vriend, Je bent welkom precies zoals je bent. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-05-31,"Wat je voelt mag er zijn: een kleine stap vandaag maakt morgen zachter, Hou vol, met zachtheid. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-06-01,"Je hart mag even rusten: laat vergelijking los en blijf bij je eigen pad, Je bent niet alleen. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-06-02,"Je hoeft niet alles nu op te lossen: herinner jezelf eraan dat je al veel hebt doorstaan, Dank je dat je blijft proberen. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-06-03,"Je bent sterker dan je denkt: je bent niet je moeilijke moment, Rustig is ook vooruitgang. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-06-04,"Jouw tempo is ook tempo: neem water, adem, en begin opnieuw, Dit is genoeg voor vandaag. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-06-05,"Vandaag mag je zacht beginnen: kies één ding dat belangrijk is en laat de rest even wachten, Je doet het beter dan je denkt. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-06-06,"Je hoeft niets te bewijzen vandaag: gun jezelf pauze zonder schuldgevoel, Je mag vertrouwen op jezelf. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-06-07,"Adem even, je bent hier: vertrouw op je rustige ademhaling, Morgen krijg je een nieuwe kans. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-06-08,"Ook op trage dagen ben je waardevol: ook met twijfel mag je vooruitgaan, Ik ben trots op je volhouden. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-06-09,"Dit is je vriendelijke herinnering: vraag hulp als het zwaar voelt, dat is moed, Je bent welkom precies zoals je bent. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-06-10,"Je draagt veel, en toch sta je hier: je hoeft nu alleen de volgende stap te zien, Hou vol, met zachtheid. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-06-11,"Zelfs kleine stappen tellen: elke dag hoef je maar opnieuw te kiezen, Je bent niet alleen. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-06-12,"Je hoeft niet perfect te zijn: zet je schouders los en laat spanning wegsmelten, Dank je dat je blijft proberen. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-06-13,"Je mag het lichter maken voor jezelf: je hoeft niet alles alleen te dragen, Rustig is ook vooruitgang. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-06-14,"Vandaag kies je voor mildheid: je bent meer dan je to-do lijst, Dit is genoeg voor vandaag. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-06-15,"Neem even ruimte voor jezelf: jij mag rust nemen voordat je op bent, Je doet het beter dan je denkt. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-06-16,"Je bent niet achter, je bent onderweg: een zachte grens zetten is ook zelfzorg, Je mag vertrouwen op jezelf. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-06-17,"Ook stilte kan helend zijn: je aanwezigheid is waardevol, Morgen krijg je een nieuwe kans. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-06-18,"Je mag vertrouwen op kleine vooruitgang: zelfcompassie maakt je niet zwak maar menselijk, Ik ben trots op je volhouden. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-06-19,"Dit moment is genoeg om opnieuw te starten: wees even vriendelijk voor jezelf zoals voor een goede vriend, Je bent welkom precies zoals je bent. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-06-20,"Wat je voelt mag er zijn: een kleine stap vandaag maakt morgen zachter, Hou vol, met zachtheid. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-06-21,"Je hart mag even rusten: laat vergelijking los en blijf bij je eigen pad, Je bent niet alleen. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-06-22,"Je hoeft niet alles nu op te lossen: herinner jezelf eraan dat je al veel hebt doorstaan, Dank je dat je blijft proberen. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-06-23,"Je bent sterker dan je denkt: je bent niet je moeilijke moment, Rustig is ook vooruitgang. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-06-24,"Jouw tempo is ook tempo: neem water, adem, en begin opnieuw, Dit is genoeg voor vandaag. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-06-25,"Vandaag mag je zacht beginnen: kies één ding dat belangrijk is en laat de rest even wachten, Je doet het beter dan je denkt. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-06-26,"Je hoeft niets te bewijzen vandaag: gun jezelf pauze zonder schuldgevoel, Je mag vertrouwen op jezelf. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-06-27,"Adem even, je bent hier: vertrouw op je rustige ademhaling, Morgen krijg je een nieuwe kans. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-06-28,"Ook op trage dagen ben je waardevol: ook met twijfel mag je vooruitgaan, Ik ben trots op je volhouden. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-06-29,"Dit is je vriendelijke herinnering: vraag hulp als het zwaar voelt, dat is moed, Je bent welkom precies zoals je bent. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-06-30,"Je draagt veel, en toch sta je hier: je hoeft nu alleen de volgende stap te zien, Hou vol, met zachtheid. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-07-01,"Zelfs kleine stappen tellen: elke dag hoef je maar opnieuw te kiezen, Je bent niet alleen. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-07-02,"Je hoeft niet perfect te zijn: zet je schouders los en laat spanning wegsmelten, Dank je dat je blijft proberen. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-07-03,"Je mag het lichter maken voor jezelf: je hoeft niet alles alleen te dragen, Rustig is ook vooruitgang. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-07-04,"Vandaag kies je voor mildheid: je bent meer dan je to-do lijst, Dit is genoeg voor vandaag. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-07-05,"Neem even ruimte voor jezelf: jij mag rust nemen voordat je op bent, Je doet het beter dan je denkt. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
2026-07-06,"Je bent niet achter, je bent onderweg: een zachte grens zetten is ook zelfzorg, Je mag vertrouwen op jezelf. Mini-actie: Leg je hand op je hart en zeg: ik mag rustig zijn."
2026-07-07,"Ook stilte kan helend zijn: je aanwezigheid is waardevol, Morgen krijg je een nieuwe kans. Mini-actie: Adem 4 tellen in en 6 tellen uit, drie keer."
